cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,actividad_predicha,probabilidad_leishmania,tanimoto_similarity,cosine_similarity,combined_75,ref_smiles,shape_tanimoto,color_tanimoto,combo_tanimoto,pred
278830,2-(3-nitrophenyl)-1H-benzimidazole,C1=CC=C2C(=C1)NC(=N2)C3=CC(=CC=C3)[N+](=O)[O-],C13H9N3O2,3,1,2,3.138100000000001,239.069476528,18,71.82,0.2506265664160401,0,Alta,0.908,0.3703703703703703,0.9858018695849042,0.8319439947812708,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.7661,0.5182,1.2843,1.5329088
39158263,"2-(3,4-difluorophenyl)-1H-benzimidazole",C1=CC=C2C(=C1)NC(=N2)C3=CC(=C(C=C3)F)F,C13H8F2N2,1,1,1,3.508100000000001,230.065554696,17,28.68,0.592747559274756,0,Alta,0.904,0.2545454545454545,0.7450265757436069,0.6224062954440688,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.8043,0.6544,1.4587,1.401676
164576216,6-chloro-2-[1-(2-chloroethyl)-5-nitro-imidazol-2-yl]-1H-benzimidazole,C1=CC2=C(C=C1Cl)NC(=N2)C3=NC=C(N3CCCl)[N+](=O)[O-],C12H9Cl2N5O2,5,1,4,3.226800000000002,325.013329888,21,89.64,0.2342704149933065,0,Alta,0.902,0.303030303030303,0.9642432583517744,0.7989400195214066,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.6835,0.5622,1.2457,1.2956005
17325485,4-[4-(1H-benzimidazol-2-yl)phenyl]morpholine,C1COCCN1C2=CC=C(C=C2)C3=NC4=CC=CC=C4N3,C17H17N3O,3,1,2,3.066500000000001,279.137162164,21,41.15,0.5103280680437424,0,Alta,0.898,0.3703703703703703,0.8050307936105863,0.6963656878005322,NC(=N)NC1=CC2=C(NC(=N2)C2=CC=C(C=C2)C2=CC=CC=C2)C=C1,0.8038,0.5823,1.3862,1.2572168
24077740,N-[3-(1H-benzimidazol-2-yl)phenyl]-4-phenyl-benzamide,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)NC3=CC=CC(=C3)C4=NC5=CC=CC=C5N4,C26H19N3O,2,2,4,6.149200000000004,389.1528122280001,30,57.78,0.5192107995846313,1,Alta,0.896,1.0,1.0,1.0,O=C(NC1=CC(=CC=C1)C1=NC2=C(N1)C=CC=C2)C1=CC=C(C=C1)C1=CC=CC=C1,1.0,1.0,2.0,1.9396104
5068842,4-acetyl-N-[3-(1H-benzimidazol-2-yl)phenyl]benzamide,CC(=O)C1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=NC4=CC=CC=C4N3,C22H17N3O2,3,2,4,4.684800000000003,355.132076784,27,74.85,0.3607214428857715,0,Alta,0.896,0.8297872340425532,0.9619805497861136,0.9289322208502236,O=C(NC1=CC(=CC=C1)C1=NC2=C(N1)C=CC=C2)C1=CC=C(C=C1)C1=CC=CC=C1,0.8414,0.8184,1.6597,1.7329428
624993,6-nitro-2-(3-nitrophenyl)-1H-benzimidazole,C1=CC(=CC(=C1)[N+](=O)[O-])C2=NC3=C(N2)C=C(C=C3)[N+](=O)[O-],C13H8N4O4,5,1,3,3.046300000000001,284.0545547359999,21,114.96,0.1826722338204592,0,Alta,0.894,0.3454545454545454,0.9819319145515124,0.8228125722772708,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.7696,0.6216,1.3912,1.3723742
924717,2-(4-methoxyphenyl)-6-methyl-1H-benzimidazole,CC1=CC2=C(C=C1)N=C(N2)C3=CC=C(C=C3)OC,C15H14N2O,2,1,2,3.546920000000002,238.110613068,18,37.91,0.474808757583751,0,Alta,0.892,0.3333333333333333,0.8631068071375706,0.7306634386865113,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.7287,0.6483,1.377,1.4105062
24127131,N-[3-(1H-benzimidazol-2-yl)phenyl]-3-chloro-4-methoxy-benzamide,COC1=C(C=C(C=C1)C(=O)NC2=CC=CC(=C2)C3=NC4=CC=CC=C4N3)Cl,C21H16ClN3O2,3,2,4,5.144200000000003,377.093104432,27,67.00999999999999,0.4029249365766304,1,Alta,0.89,0.6785714285714286,0.9785066159846072,0.9035228191313124,O=C(NC1=CC(=CC=C1)C1=NC2=C(N1)C=CC=C2)C1=CC=C(C=C1)C1=CC=CC=C1,0.8285,0.8181,1.6466,1.6287447
164576214,2-[1-(2-chloroethyl)-5-nitro-imidazol-2-yl]-6-methyl-1H-benzimidazole,CC1=CC2=C(C=C1)N=C(N2)C3=NC=C(N3CCCl)[N+](=O)[O-],C13H12ClN5O2,5,1,4,2.88182,305.067952304,21,89.64,0.2342704149933065,0,Alta,0.888,0.3870967741935484,0.960908503474532,0.817455571154286,CC1=CC2=C(NC(=N2)C2=CC=C(O2)N(=O)=O)C=C1,0.6657,0.5621,1.2278,1.3212473
