cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,cosine_similarity,tanimoto_similarity,combined_75
3914691,2-(2-chloro-5-nitro-phenyl)-1H-benzimidazole,C1=CC=C2C(=C1)NC(=N2)C3=C(C=CC(=C3)[N+](=O)[O-])Cl,C13H8ClN3O2,3,1,2,3.791500000000002,273.030504176,19,71.82,0.2645502645502646,0,0.9615604822368957,0.3508771929824561,0.8088896599232858
103597103,6-bromo-2-(3-nitrophenyl)-1H-benzimidazole,C1=CC(=CC(=C1)[N+](=O)[O-])C2=NC3=C(N2)C=C(C=C3)Br,C13H8BrN3O2,3,1,2,3.9006000000000007,316.979988596,19,71.82,0.2645502645502646,0,0.9447394924703602,0.3220338983050847,0.7890630939290413
44376987,"2-(5,6-dimethyl-2-pyridyl)-6-methyl-1H-benzimidazole",CC1=CC2=C(C=C1)N=C(N2)C3=NC(=C(C=C3)C)C,C15H15N3,2,1,1,3.5501600000000018,237.12659748,18,41.57,0.4330045706038008,0,0.8667590595020319,0.33962264150943394,0.7349749550038824
6494190,4-(1-methylbenzimidazol-2-yl)butanoic acid,CN1C2=CC=CC=C2N=C1CCCC(=O)O,C12H14N2O2,3,1,4,1.9806,218.105527688,16,55.120000000000005,0.2902757619738751,0,0.8924215912915231,0.12307692307692308,0.7000854242378731
5056728,6-chloro-2-(2-furyl)-1H-benzimidazole,C1=COC(=C1)C2=NC3=C(N2)C=C(C=C3)Cl,C11H7ClN2O,2,1,1,3.476300000000001,218.024690524,15,41.82,0.3586800573888092,0,0.8589940976422037,0.2857142857142857,0.7156741446602242
11481606,4-(1-ethylbenzimidazol-2-yl)thiazole,CCN1C2=CC=CC=C2N=C1C3=CSC=N3,C12H11N3S,4,0,2,3.1797000000000013,229.067368352,16,30.71,0.5210029306414848,0,0.8407024409222654,0.12121212121212122,0.6608298609947294
102500395,2-[6-(1H-benzimidazol-2-yl)-2-pyridyl]propan-2-ol,CC(C)(C1=CC=CC(=N1)C2=NC3=CC=CC=C3N2)O,C15H15N3O,3,2,2,2.852300000000001,253.1215121,19,61.8,0.3074433656957929,0,0.9213978190640568,0.23728813559322035,0.7503703981963477
3065145,5-(6-chloro-1H-benzimidazol-2-yl)furan-2-carbaldehyde,C1=CC2=C(C=C1Cl)NC(=N2)C3=CC=C(O3)C=O,C12H7ClN2O2,3,1,2,3.288800000000001,246.019605144,17,58.89,0.2886737986075734,0,0.9658782641742131,0.35714285714285715,0.8136944124163741
137435136,4-(4-chloro-1-methyl-benzimidazol-2-yl)thiazole,CN1C2=C(C(=CC=C2)Cl)N=C1C3=CSC=N3,C11H8ClN3S,4,0,1,3.350200000000002,249.012745936,16,30.71,0.5210029306414848,0,0.8289119006953882,0.10294117647058823,0.6474192196391882
44376973,6-methyl-2-(5-methyl-2-pyridyl)-1H-benzimidazole,CC1=CC2=C(C=C1)N=C(N2)C3=NC=C(C=C3)C,C14H13N3,2,1,1,3.241740000000001,223.110947416,17,41.57,0.4089487611258118,0,0.8797921246854083,0.34615384615384615,0.7463825550525178
4915302,"6-chloro-2-(3,4-dimethoxyphenyl)-1H-benzimidazole",COC1=C(C=C(C=C1)C2=NC3=C(N2)C=C(C=C3)Cl)OC,C15H13ClN2O2,3,1,3,3.900500000000002,288.066555336,20,47.14,0.4242681374628765,0,0.904405125111085,0.22950819672131148,0.7356808930136416
23656017,"6-(trifluoromethyl)-2-(3,4,5-trimethoxyphenyl)-1H-benzimidazole",COC1=CC(=CC(=C1OC)OC)C2=NC3=C(N2)C=C(C=C3)C(F)(F)F,C17H15F3N2O3,4,1,4,4.274500000000002,352.10347700000005,25,56.37,0.4434983147064041,0,0.8981632287161662,0.21875,0.7283099215371246
4384356,2-(1H-benzimidazol-2-yl)-4-nitro-phenol,C1=CC=C2C(=C1)NC(=N2)C3=C(C=CC(=C3)[N+](=O)[O-])O,C13H9N3O3,4,2,2,2.8437000000000014,255.064391148,19,92.05,0.2064095600217273,0,0.9652516720729406,0.3508771929824561,0.8116580523003194
20347800,2-(5-methyl-2-pyridyl)-1H-benzimidazole,CC1=CN=C(C=C1)C2=NC3=CC=CC=C3N2,C13H11N3,2,1,1,2.93332,209.095297352,16,41.57,0.3848929516478229,0,0.8907303842439573,0.32075471698113206,0.7482364674282511
56796621,"2-(7-chloro-1,3-benzodioxol-5-yl)-5,6-difluoro-1H-benzimidazole",C1OC2=C(O1)C(=CC(=C2)C3=NC4=CC(=C(C=C4N3)F)F)Cl,C14H7ClF2N2O2,3,1,1,3.890200000000001,308.016411584,21,47.14,0.4454815443360204,0,0.8918014301586609,0.2153846153846154,0.7226972264651496
102300723,6-(1-butyl-6-methyl-benzimidazol-2-yl)pyridine-2-carboxylic acid,CCCCN1C2=C(C=CC(=C2)C)N=C1C3=NC(=CC=C3)C(=O)O,C18H19N3O2,4,1,5,3.905020000000002,309.147726848,23,68.01,0.3381855609469195,0,0.9216568385631616,0.18309859154929578,0.7370172768096952
64724971,4-(4-fluoro-1H-benzimidazol-2-yl)thiazole,C1=CC2=C(C(=C1)F)N=C(N2)C3=CSC=N3,C10H6FN3S,3,1,1,2.825500000000001,219.026646412,15,41.57,0.360837142169834,0,0.9279107306604353,0.15873015873015872,0.7356155876778662
755544,"2-(3,4,5-trimethoxyphenyl)-1H-benzimidazole",COC1=CC(=CC(=C1OC)OC)C2=NC3=CC=CC=C3N2,C16H16N2O3,4,1,4,3.255700000000001,284.116092372,21,56.37,0.3725385843533795,0,0.9331676308502483,0.2631578947368421,0.7656651968218967
44376998,"2-(5,6-dimethyl-2-pyridyl)-1H-benzimidazole",CC1=C(N=C(C=C1)C2=NC3=CC=CC=C3N2)C,C14H13N3,2,1,1,3.241740000000001,223.110947416,17,41.57,0.4089487611258118,0,0.8797921246854083,0.2777777777777778,0.7292885379585007
834883,4-chloro-2-phenyl-1H-benzimidazole,C1=CC=C(C=C1)C2=NC3=C(N2)C=CC=C3Cl,C13H9ClN2,1,1,1,3.883300000000001,228.045425968,16,28.68,0.5578800557880056,0,0.730444456056012,0.17543859649122806,0.5916929911648161
