cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,cosine_similarity,tanimoto_similarity,combined_75
135533472,(E)-2-(1H-benzimidazol-2-yl)-3-(5-bromo-2-hydroxy-phenyl)prop-2-enenitrile,C1=CC=C2C(=C1)NC(=N2)C(=CC3=C(C=CC(=C3)Br)O)C#N,C16H10BrN3O,3,2,2,4.095180000000003,339.00072403999997,21,72.69999999999999,0.2888583218707015,0,0.9473492855888836,0.296875,0.7847307141916627
23604683,N-[(3-methyl-2-thienyl)methyl]-1-propyl-benzimidazol-2-amine,CCCN1C2=CC=CC=C2N=C1NCC3=C(C=CS3)C,C16H19N3S,4,1,5,4.428320000000003,285.129968608,20,29.85,0.6700167504187604,0,0.9267041031035059,0.36666666666666664,0.7866947439942961
4024629,"2,4-dibromo-6-[[(3-hexadecyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenolate",CCCCCCCCCCCCCCCC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C(=CC(=C3)Br)Br)[O-],C30H43Br2N3O,2,2,18,9.1474,619.177287196,36,54.75999999999999,0.6574141709276845,2,0.6530305191676887,0.2328767123287671,0.5479920674579584
1610635,"2,4-dibromo-6-[[(3-octyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenol",CCCCCCCC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C(=CC(=C3)Br)Br)O,C22H28Br2N3O+,2,3,10,6.658600000000006,508.05936313609,28,51.92999999999999,0.5391873676102447,2,0.7992338130705696,0.2676056338028169,0.6663267682536315
787427,2-[[(1-ethylbenzimidazol-2-yl)amino]methyl]-5-methoxy-phenol,CCN1C2=CC=CC=C2N=C1NCC3=C(C=C(C=C3)OC)O,C17H19N3O2,5,2,5,3.3825000000000016,297.147726848,22,59.31,0.3709323891417973,0,0.9824979496767368,0.46551724137931033,0.8532527726023802
3905491,4-bromo-2-[[(3-decyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenolate,CCCCCCCCCC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C=CC(=C3)Br)[O-],C24H32BrN3O,2,2,12,6.044300000000006,457.172874744,29,54.75999999999999,0.5295836376917459,1,0.7584276729410424,0.2714285714285714,0.6366778975629246
787426,5-methoxy-2-[[(1-methylbenzimidazol-2-yl)amino]methyl]phenol,CN1C2=CC=CC=C2N=C1NCC3=C(C=C(C=C3)OC)O,C16H17N3O2,5,2,4,2.899600000000001,283.132076784,21,59.31,0.3540718259989883,0,0.9793995967006722,0.6078431372549019,0.8865104818392296
16482036,1-allyl-N-[(3-bromophenyl)methyl]benzimidazol-2-amine,C=CCN1C2=CC=CC=C2N=C1NCC3=CC(=CC=C3)Br,C17H16BrN3,3,1,5,4.596900000000002,341.052759612,21,29.85,0.7035175879396984,0,0.918107120711968,0.43103448275862066,0.7963389612236311
3318324,"2-[[(1-butylbenzimidazol-2-yl)amino]methyl]-4,6-dichloro-phenol",CCCCN1C2=CC=CC=C2N=C1NCC3=C(C(=CC(=C3)Cl)Cl)O,C18H19Cl2N3O,4,2,6,5.460900000000004,363.090517588,24,50.08,0.4792332268370607,1,0.9675295058803198,0.4426229508196721,0.8363028671151579
709563,1-allyl-N-[(2-methoxyphenyl)methyl]benzimidazol-2-amine,COC1=CC=CC=C1CNC2=NC3=CC=CC=C3N2CC=C,C18H19N3O,4,1,6,3.843000000000002,293.152812228,22,39.08,0.5629477993858751,0,0.9330666279645554,0.38333333333333336,0.7956333043067499
