cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,cosine_similarity,tanimoto_similarity,combined_25,combined_50,combined_75,combined_geometric,combined_harmonic
58190775,N-[4-[3-(4-methylsulfonylphenyl)propanoyl]-6-(trifluoromethyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,CS(=O)(=O)C1=CC=C(C=C1)CCC(=O)C2=C3C(=CC(=C2)C(F)(F)F)NC(=N3)NC(=O)C4=CC5=CC=CC=C5C=N4,C28H21F3N4O4S,6,2,7,5.601200000000004,566.123560812,40,121.88,0.3281916639317361,2,0.4080615983710029,0.3291139240506329,0.3488508426307254,0.36858776121081793,0.3883246797909104,0.3664679438835737,0.3643603180232575
58190696,N-[6-(2-thiazol-2-ylacetyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,C1=CC=C2C=NC(=CC2=C1)C(=O)NC3=NC4=C(N3)C=C(C=C4)C(=O)CC5=NC=CS5,C22H15N5O2S,6,2,5,4.245300000000002,413.0946457200001,30,100.63,0.2981218324555301,0,0.5672272158756625,0.4117647058823529,0.45063033338068037,0.4894959608790077,0.528361588377335,0.48328474806630106,0.4771523493147675
166454520,6-[[1-(5-aminopentyl)-5-[(4-methylpiperazin-1-yl)methyl]benzimidazol-2-yl]carbamoyl]pyridine-2-carboxylic acid,CN1CCN(CC1)CC2=CC3=C(C=C2)N(C(=N3)NC(=O)C4=NC(=CC=C4)C(=O)O)CCCCCN,C25H33N7O3,8,3,10,2.2582,479.264487916,35,129.61,0.2700408919064887,0,0.5127510344409342,0.21686746987951808,0.2908383610198721,0.36480925216022614,0.4387801433005801,0.3334651698713241,0.3048141428947966
174577126,"N-(5,6-dimethyl-1H-benzimidazol-2-yl)pyridine-2-carboxamide",CC1=CC2=C(C=C1C)N=C(N2)NC(=O)C3=CC=CC=N3,C15H14N4O,3,2,2,2.82704,266.116761068,20,70.67,0.2830055186076128,0,0.9869790994475464,0.7555555555555555,0.8134114415285533,0.871267327501551,0.9291232134745486,0.8635493858516794,0.8558998119936791
155512778,N-(5-carbamoyl-7-methoxy-1-propyl-benzimidazol-2-yl)quinoline-2-carboxamide,CCCN1C2=C(C=C(C=C2OC)C(=O)N)N=C1NC(=O)C3=NC4=CC=CC=C4C=C3,C22H21N5O3,6,2,6,3.354300000000001,403.164439532,30,112.13,0.2675465976990992,0,0.5303941577546035,0.23076923076923078,0.305675462515574,0.3805816942619171,0.4554879260082604,0.3498551868838361,0.3216094038019834
155534270,benzyl N-[3-[5-carbamoyl-7-methoxy-2-(pyridine-2-carbonylamino)benzimidazol-1-yl]propyl]carbamate,COC1=CC(=CC2=C1N(C(=N2)NC(=O)C3=CC=CC=N3)CCCNC(=O)OCC4=CC=CC=C4)C(=O)N,C26H26N6O5,8,3,10,3.1076000000000006,502.196467932,37,150.46,0.2459125348929948,1,0.523695111967599,0.2926829268292683,0.35043597311385094,0.40818901939843366,0.4659420656830163,0.39150557867910163,0.3755040210605097
23908379,"methyl 6-[(5,6-dimethyl-1H-benzimidazol-2-yl)carbamoyl]pyridine-3-carboxylate",CC1=CC2=C(C=C1C)N=C(N2)NC(=O)C3=NC=C(C=C3)C(=O)OC,C17H16N4O3,5,2,3,2.61364,324.12224037199996,24,96.97,0.2474992265649169,0,0.7628589858190091,0.47368421052631576,0.5459779043494891,0.6182715981726624,0.6905652919958358,0.6011274876767684,0.5844587678110829
141279216,N-[6-(3-chloro-5-fluoro-phenyl)-1H-benzimidazol-2-yl]pyridine-2-carboxamide,C1=CC=NC(=C1)C(=O)NC2=NC3=C(N2)C=C(C=C3)C4=CC(=CC(=C4)Cl)F,C19H12ClFN4O,3,2,3,4.6697000000000015,366.068366904,26,70.67,0.3679071741898967,0,0.7123673236008152,0.5344827586206896,0.5789538998657211,0.6234250411107525,0.6678961823557839,0.6170478524955753,0.610735897921304
58724433,N-[4-[(4-methylsulfonylphenyl)methylcarbamoyl]-6-(3-thienyl)-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,CS(=O)(=O)C1=CC=C(C=C1)CNC(=O)C2=C3C(=CC(=C2)C4=CSC=C4)NC(=N3)NC(=O)C5=CC6=CC=CC=C6C=N5,C30H23N5O4S2,7,3,7,5.425400000000004,581.119146216,41,133.91000000000005,0.3061757897095063,2,0.5668984942139448,0.3132530120481928,0.37666438258963075,0.4400757531310688,0.5034871236725068,0.4214055776067792,0.40352748265413596
58026612,N-[4-(1H-imidazol-2-ylcarbamoyl)-6-methyl-1H-benzimidazol-2-yl]isoquinoline-3-carboxamide,CC1=CC(=C2C(=C1)NC(=N2)NC(=O)C3=CC4=CC=CC=C4C=N3)C(=O)NC5=NC=CN5,C22H17N7O2,5,4,4,3.647220000000001,411.1443727840001,31,128.45000000000002,0.2413390424289606,0,0.8557945572910146,0.4307692307692308,0.5370255623996767,0.6432818940301227,0.7495382256605687,0.6071655154410078,0.5730768525617513
