cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,cosine_similarity,tanimoto_similarity,combined_25,combined_50,combined_75,combined_geometric,combined_harmonic,actividad_predicha
17860290,5-bromo-N-[2-chloro-4-(trifluoromethyl)phenyl]-2-hydroxy-benzamide,C1=CC(=C(C=C1C(F)(F)F)Cl)NC(=O)C2=C(C=CC(=C2)Br)O,C14H8BrClF3NO2,2,2,2,5.079200000000001,392.93790293599994,22,49.33,0.4459760794648287,1,0.9413537176777136,0.2121212121212121,0.3944293385103374,0.5767374648994628,0.7590455912885881,0.4468569028543767,0.3462252823534091,Media
25584640,"N-(2-thienylmethyl)-1,3-benzoxazol-2-amine",C1=CC=C2C(=C1)N=C(O2)NCC3=CC=CS3,C12H10N2OS,4,1,3,3.501400000000001,230.05138394,16,38.06,0.420388859695218,0,0.929632402391474,0.2166666666666666,0.3949081005978685,0.5731495345290702,0.7513909684602722,0.4487987899398638,0.3514272309703323,Media
29300643,"N-[(2-methoxyphenyl)methyl]-1,3-benzothiazol-2-amine",COC1=CC=CC=C1CNC2=NC3=CC=CC=C3S2,C15H14N2OS,4,1,4,3.9170000000000025,270.082684068,19,34.15,0.5563689604685212,0,0.9433367637427442,0.2666666666666666,0.4358341909356861,0.6050017152047055,0.7741692394737248,0.501554055243698,0.4157946399313645,Media
4340133,"N-benzyl-6-chloro-1,3-benzothiazol-2-amine",C1=CC=C(C=C1)CNC2=NC3=C(S2)C=C(C=C3)Cl,C14H11ClN2S,3,1,3,4.561800000000002,274.03314703200004,18,24.92,0.7223113964686998,0,0.9234197345328156,0.2096774193548387,0.388112998149333,0.5665485769438272,0.7449841557383213,0.4400230299861258,0.3417540433384026,Alta
103602016,2-hydroxy-5-iodo-N-(2-naphthyl)benzamide,C1=CC=C2C=C(C=CC2=C1)NC(=O)C3=C(C=CC(=C3)I)O,C17H12INO2,2,2,2,4.402300000000002,388.991276624,21,49.33,0.4257044394891547,0,0.9487085029115272,0.1904761904761904,0.3800342685850246,0.5695923466938588,0.759150424802693,0.4250957321674231,0.3172556347637911,Media
13813320,"N-benzyloxazolo[4,5-b]pyridin-2-amine",C1=CC=C(C=C1)CNC2=NC3=C(O2)C=CC=N3,C13H11N3O,4,1,3,2.8349,225.090211972,17,50.95,0.3336604514229637,0,0.9266431709848744,0.1774193548387097,0.3647253088752508,0.5520312629117919,0.7393372169483331,0.4054681659043438,0.2978172516800057,Media
454825,"3-[(1,3-benzoxazol-2-ylamino)methyl]-5-ethyl-6-methyl-1H-pyridin-2-one",CCC1=C(NC(=O)C(=C1)CNC2=NC3=CC=CC=C3O2)C,C16H17N3O2,4,2,4,2.9990200000000016,283.132076784,21,70.92,0.2961082910321489,0,0.9716422095076902,0.2575757575757575,0.4360923705587407,0.6146089835417239,0.793125596524707,0.5002714045460986,0.4072043932132601,Media
2030662,"2-[(3-chlorophenyl)methylamino]-5-methyl-1H-[1,2,4]triazolo[1,5-a]pyrimidin-7-one",CC1=CC(=O)N2C(=N1)N=C(N2)NCC3=CC(=CC=C3)Cl,C13H12ClN5O,5,2,3,1.9915199999999995,289.073037684,20,75.08,0.2663825253063399,0,0.954054180572572,0.1830985915492957,0.3758374888051148,0.5685763860609339,0.7613152833167529,0.4179545151383765,0.3072339636451846,Media
54579821,"N-[(5-bromo-2-thienyl)methyl]-4-methoxy-1,3-benzothiazol-2-amine",COC1=C2C(=CC=C1)SC(=N2)NCC3=CC=C(S3)Br,C13H11BrN2OS2,5,1,4,4.741000000000001,353.9496170720001,19,34.15,0.5563689604685212,0,0.9124132296208448,0.1911764705882352,0.3714856603463876,0.55179485010454,0.7321040398626923,0.4176505009657311,0.316117377543265,Media
3814218,4-bromo-2-[[(1-decylbenzimidazol-2-yl)amino]methyl]phenol,CCCCCCCCCCN1C2=CC=CC=C2N=C1NCC3=C(C=CC(=C3)Br)O,C24H32BrN3O,4,2,12,7.257200000000006,457.172874744,29,50.08,0.5790734824281151,1,0.8878240955782402,0.7115384615384616,0.7556098700484062,0.7996812785583509,0.8437526870682955,0.7948087764264541,0.7899659627187606,Media
770938,5-bromo-2-hydroxy-N-[1-(2-thienyl)ethylideneamino]benzamide,CC(=NNC(=O)C1=C(C=CC(=C1)Br)O)C2=CC=CS2,C13H11BrN2O2S,4,2,3,3.3702000000000014,337.9724606920001,19,61.69,0.3079915707570109,0,0.9923743732161464,0.2461538461538461,0.4327089779194212,0.6192641096849962,0.8058192414505713,0.4942436330309848,0.3944629843249339,Media
23604683,N-[(3-methyl-2-thienyl)methyl]-1-propyl-benzimidazol-2-amine,CCCN1C2=CC=CC=C2N=C1NCC3=C(C=CS3)C,C16H19N3S,4,1,5,4.428320000000003,285.129968608,20,29.85,0.6700167504187604,0,0.9182390517128264,0.3666666666666666,0.5045597629282066,0.6424528591897466,0.7803459554512865,0.5802479231282979,0.5240659255829747,Media
4644694,4-bromo-2-[[(3-hexadecyl-1H-benzimidazol-3-ium-2-yl)amino]methyl]phenolate,CCCCCCCCCCCCCCCC[N+]1=C(NC2=CC=CC=C21)NCC3=C(C=CC(=C3)Br)[O-],C30H44BrN3O,2,2,18,8.384900000000005,541.266775128,35,54.75999999999999,0.6391526661796934,2,0.7708414412521023,0.2714285714285714,0.3962817888844541,0.5211350063403368,0.6459882237962196,0.4574149004973484,0.4014859655395298,Media
2901315,2-[[(1-butylbenzimidazol-2-yl)amino]methyl]phenol,CCCCN1C2=CC=CC=C2N=C1NCC3=CC=CC=C3O,C18H21N3O,4,2,6,4.154100000000003,295.168462292,22,50.08,0.4392971246006389,0,0.9798698775077403,0.5283018867924528,0.6411938844712748,0.7540858821500966,0.8669778798289185,0.7194908651945686,0.6864829555254691,Media
3750653,4-bromo-2-[[(1-pentylbenzimidazol-2-yl)amino]methyl]phenol,CCCCCN1C2=CC=CC=C2N=C1NCC3=C(C=CC(=C3)Br)O,C19H22BrN3O,4,2,7,5.306700000000005,387.094624424,24,50.08,0.4792332268370607,1,0.965271088799044,0.7254901960784313,0.7854354192585844,0.8453806424387376,0.9053258656188908,0.8368361317974142,0.828377983036686,Media
4786852,"N-(4,5-dihydrothiazol-2-yl)-2-hydroxy-5-iodo-benzamide",C1CSC(=N1)NC(=O)C2=C(C=CC(=C2)I)O,C10H9IN2O2S,4,2,1,1.8294,347.942946528,16,61.69,0.259361322742746,0,0.954246526930439,0.1666666666666666,0.3635616317326097,0.5604565967985529,0.7573515618644958,0.3987995584522879,0.2837705698000814,Media
