cid,iupac_name,smiles_canonical,molecular_formula,hydrogen_bond_acceptors,hydrogen_bond_donors,rotatable_bonds,log_p,molecular_weight,heavy_atom_count,polar_surface_area,atom_surface_coefficient,no_lipinski_violations,actividad_predicha,probabilidad_leishmania,tanimoto_similarity,cosine_similarity,combined_75
129754457,1-methyl-2-(5-nitro-3-thienyl)benzimidazole,CN1C2=CC=CC=C2N=C1C3=CSC(=C3)[N+](=O)[O-],C12H9N3O2S,5,0,2,3.2100000000000017,259.041547528,18,60.959999999999994,0.2952755905511811,0,Alta,0.872,0.238095238095238,0.9205672519329569,0.7499492484735271
4915302,"6-chloro-2-(3,4-dimethoxyphenyl)-1H-benzimidazole",COC1=C(C=C(C=C1)C2=NC3=C(N2)C=C(C=C3)Cl)OC,C15H13ClN2O2,3,1,3,3.900500000000002,288.066555336,20,47.14,0.4242681374628765,0,Alta,0.872,0.2295081967213114,0.904405125111085,0.7356808930136416
43829000,2-(m-tolyl)-6-nitro-1H-benzimidazole,CC1=CC(=CC=C1)C2=NC3=C(N2)C=C(C=C3)[N+](=O)[O-],C14H11N3O2,3,1,2,3.4465200000000022,253.085126592,19,71.82,0.2645502645502646,0,Alta,0.87,0.4181818181818181,0.9750995006347414,0.8358700800215105
135391692,N-(4-chlorophenyl)-2-(5-nitro-2-furyl)-3H-benzimidazole-5-carboxamide,C1=CC(=CC=C1NC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-])Cl,C18H11ClN4O4,5,2,4,4.636800000000002,382.046882512,27,114.06,0.2367175170962651,0,Alta,0.868,0.4918032786885246,0.9669212214250984,0.848141735740955
162668556,2-(5-nitro-2-furyl)-N-[4-(trifluoromethyl)phenyl]-3H-benzimidazole-5-carboxamide,C1=CC(=CC=C1C(F)(F)F)NC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-],C19H11F3N4O4,5,2,4,5.002200000000003,416.073239492,30,114.06,0.2630194634402946,1,Alta,0.868,0.46875,0.9516563600123772,0.8309297700092829
135391842,2-(5-nitro-2-furyl)-N-[3-(trifluoromethyl)phenyl]-3H-benzimidazole-5-carboxamide,C1=CC(=CC(=C1)NC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-])C(F)(F)F,C19H11F3N4O4,5,2,4,5.002200000000002,416.073239492,30,114.06,0.2630194634402946,1,Alta,0.868,0.4477611940298507,0.9516563600123772,0.8256825685167457
794743,6-methyl-2-(3-nitrophenyl)-1H-benzimidazole,CC1=CC2=C(C=C1)N=C(N2)C3=CC(=CC=C3)[N+](=O)[O-],C14H11N3O2,3,1,2,3.4465200000000022,253.085126592,19,71.82,0.2645502645502646,0,Alta,0.868,0.4444444444444444,0.9750995006347414,0.8424357365871671
68602100,2-(3-chlorophenyl)-6-nitro-1H-benzimidazole,C1=CC(=CC(=C1)Cl)C2=NC3=C(N2)C=C(C=C3)[N+](=O)[O-],C13H8ClN3O2,3,1,2,3.791500000000002,273.03050417599997,19,71.82,0.2645502645502646,0,Alta,0.868,0.3220338983050847,0.9615604822368956,0.8016788362539429
103597103,6-bromo-2-(3-nitrophenyl)-1H-benzimidazole,C1=CC(=CC(=C1)[N+](=O)[O-])C2=NC3=C(N2)C=C(C=C3)Br,C13H8BrN3O2,3,1,2,3.9006000000000007,316.979988596,19,71.82,0.2645502645502646,0,Alta,0.868,0.3220338983050847,0.9447394924703602,0.7890630939290413
14592770,6-bromo-2-(5-nitro-2-furyl)-1H-benzimidazole,C1=CC2=C(C=C1Br)NC(=N2)C3=CC=C(O3)[N+](=O)[O-],C11H6BrN3O3,4,1,2,3.4936000000000016,306.959253152,18,84.96,0.211864406779661,0,Alta,0.864,0.625,0.9837608955769156,0.8940706716826866
135391724,2-(5-nitro-2-furyl)-N-(o-tolyl)-3H-benzimidazole-5-carboxamide,CC1=CC=CC=C1NC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-],C19H14N4O4,5,2,4,4.291820000000002,362.10150492799994,27,114.06,0.2367175170962651,0,Alta,0.864,0.5245901639344263,0.9686524213386872,0.8576368569876222
14145037,6-chloro-2-(4-ethoxyphenyl)-1H-benzimidazole,CCOC1=CC=C(C=C1)C2=NC3=C(N2)C=C(C=C3)Cl,C15H13ClN2O,2,1,3,4.282000000000002,272.07164071600005,19,37.91,0.5011870218939595,0,Alta,0.862,0.2258064516129032,0.8318762059544047,0.6803587673690292
64722111,"2-(3,4-dichlorophenyl)-6-fluoro-1H-benzimidazole",C1=CC(=C(C=C1C2=NC3=C(N2)C=C(C=C3)F)Cl)Cl,C13H7Cl2FN2,1,1,1,4.675800000000001,279.997031804,18,28.68,0.6276150627615062,0,Alta,0.862,0.2203389830508474,0.7268888935961553,0.6002514159598283
53321120,N'-(4-chlorobenzoyl)-2-(5-nitro-2-furyl)-3H-benzimidazole-5-carbohydrazide,C1=CC(=CC=C1C(=O)NNC(=O)C2=CC3=C(C=C2)N=C(N3)C4=CC=C(O4)[N+](=O)[O-])Cl,C19H12ClN5O5,6,3,4,3.4593000000000007,425.05269616399994,30,143.16,0.2095557418273261,0,Alta,0.858,0.5084745762711864,0.9318358113276884,0.8259955025635629
767074,2-(3-chlorophenyl)-1H-benzimidazole,C1=CC=C2C(=C1)NC(=N2)C3=CC(=CC=C3)Cl,C13H9ClN2,1,1,1,3.883300000000001,228.045425968,16,28.68,0.5578800557880056,0,Alta,0.858,0.2545454545454545,0.730444456056012,0.6114697056783727
